NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT06404879,The Effect of Parental Anxiety Level on the Child's Anxiety Level and Postoperative Pain in Children Undergoing Surgery.,https://clinicaltrials.gov/study/NCT06404879,,NOT_YET_RECRUITING,The aim of this prospective study is to investigate whether the anxiety levels of parents of children aged 2-6 years who will undergo inguinal area surgery have an effect on the child\&#39;s preoperative anxiety level and postoperative pain level.,NO,Anxiety|Children,OTHER: determining scores with tests,"Anxiety level of parents, It will be measured with STAI-I and STAI-II (State-Trait Anxiety Scale) scale forms., preoperative period|Anxiety level of the child undergoing surgery, According to the m-YPAS (modified Yale Preoperative Anxiety) scale, children's anxiety levels will be calculated in the preoperative waiting room (T1) and when the anesthesia ventilation mask is shown (T4)., preoperative and intraoperative period|Pain levels of children undergoing surgery, Pain levels of all children taken to the recovery unit will be measured with the FLACC (Face, Legs, Activity, Cry, Consolabilityscale) score at the 5th, 10th, 20th and 30th minutes., postoperative period","heart rate, beats/min, intraoperative period|heart rate, beats/min, up to 8 hour postoperative|complication, such as nausea, vomiting and desaturation, up to 24 hour postoperative",Giresun University,,ALL,CHILD,,90,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2024-05-30,2024-06-30,2024-07-30,2024-05-08,,2024-05-08,"Giresun Gynecology and Pediatrics Training Research Hospital, Giresun, Centre, 28000, Turkey",
NCT00981279,Profile of HIV Seropositive Patients,https://clinicaltrials.gov/study/NCT00981279,PHSP,COMPLETED,The aim of this study was to delineate the epidemiological profile of HIV seropositive patients on antiretroviral therapy at the Clinical Hospital of the Federal University of Goiás.,NO,HIV Infection|HIV Infections,,"Data regarding the personal aspects, aspects related to the infection and information about the most used therapeutic., Since the start of the drug therapy ( means of 36 months)",,Universidade Federal de Goias,,ALL,"CHILD, ADULT, OLDER_ADULT",,222,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2009-06,2009-09,2009-09,2009-09-22,,2009-10-29,"Federal University of Goias, Goiânia, GO, 74.605-020, Brazil",
NCT01462279,Effect of Thiamine on Oxygen Utilization (VO2) in Critical Illness,https://clinicaltrials.gov/study/NCT01462279,VO2,COMPLETED,The objective of this study is to determine the effect of thiamine therapy on oxygen consumption in critically-ill patients. The investigators will evaluate this by measuring VO2 before and after thiamine administration in patients admitted to the ICU and requiring mechanical ventilation.,YES,Acute Respiratory Failure,DRUG: Thiamine,"Improvement in VO2, VO2 measurements are taken at baseline and VO2 is continuously monitored over 9 hours. Thiamine is administered three hours after baseline measurements are taken., Baseline to 9 Hours","Improvement in Hemodynamics, Hemodynamics were collected in all patients but we did not evaluate change in hemodynamics over the 9 hour protocol of the study. Due to the single-arm nature and small size of the study, and with no comparison arm, we did not think we had the statistical power to evaluate for a change in hemodynamics so this was not a planned outcome and was entered in error., Baseline to Nine Hours",Beth Israel Deaconess Medical Center,American Medical Association,ALL,"ADULT, OLDER_ADULT",NA,20,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2011-09,2012-10,2012-10,2011-10-31,2016-11-30,2018-01-16,"Beth Israel Deaconess Medical Center (BIDMC), Boston, Massachusetts, 02115, United States",
NCT00947479,Effect of Obstructive Sleep Apnea on Central Blood Pressure and Kidney and Endothelial Function,https://clinicaltrials.gov/study/NCT00947479,OSA-AKI,UNKNOWN,Obstructive sleep apnea (OSA) is a frequently underdiagnosed condition that has emerged as an increasing medical problem with important social and financial implications worldwide. OSA is a well established risk factor for systemic hypertension myocardial infarction or stroke and it has been documented that blood pressure rises in a very consistent fashion during apneic episodes. The incidence of the episodes of apnea during sleep causes repeated subclinical acute kidney injuries (AKI) contributing to the development of CKD. One of the mechanisms responsible for AKI might be endothelial injury followed by an increase of central aortic pressure.,NO,Obstructive Sleep Apnea|Acute Kidney Failure|Chronic Kidney Disease,OTHER: continuous positive airway pressure (CPAP),"presence of acute kidney injury, one year",,Medical University of Lodz,,MALE,"ADULT, OLDER_ADULT",NA,50,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: DIAGNOSTIC,2009-02,2010-06,2011-07,2009-07-28,,2009-07-28,"Medical University, Lodz, Lodzkie, 90-153, Poland",
NCT05203679,Evaluation of the Safety and Efficacy of Hemophilia B Gene Therapy Drug,https://clinicaltrials.gov/study/NCT05203679,,ACTIVE_NOT_RECRUITING,"This is a multi-center, single-arm, open-label, single-dose treatment clinical study to evaluate the safety, tolerability and efficacy of BBM-H901 injection in Hemophilia B subjects with ≤2 International unit per deciliter (IU/dl) residual factor IX (FIX) levels.

BBM-H901 is an adeno-associated virus (AAV) vector derived from recombinant DNA techniques to contain an expression cassette of the human factor IX (hFIX) transgene and raises circulating levels of endogenous FIX.",NO,Hemophilia B,GENETIC: Single dose intravenous injection of BBM-H901,"Incidence of dose limiting toxicity (DLT) events., To access the numbers of DLT events determined by the Safety Data Review Committee (SRC) within 6 or 10 weeks after administration., 6 or 10 weeks|The incidence of treatment-emergent adverse events (TEAEs) and serious adverse events (SAEs), To assess the safety of BBM-H901 Injection by TEAEs and SAEs., 52 weeks|Changes in liver function, To assess changes in liver function before and after treatment, including alanine aminotransferase (ALT), aspartate aminotransferase (AST), total bilirubin (TBIL), alkaline phosphatase (ALP), and gamma-glutamyl transpeptidase (GGT)., 52 weeks","FIX activity, All samples collected from participants for plasma FIX activity levels were analyzed and used to determine peak and steady-state vector-derived circulating FIX activity levels., 52 weeks|FIX antigen level, To assess FIX antigen level within 52 weeks after administration., 52 weeks|The viral load of AAV vector, To assess the viral load of AAV vector within 52 weeks after administration., 52 weeks|Annualized bleeding rate (ABR), To assess ABR, including spontaneous bleeding and traumatic bleeding after administration., 52 weeks|Improvement in patient's quality of life, To assess the proportion of subjects with life improvement from baseline through Hemophilia Joint Health Score (HJHS), Hemophilic Early Arthropathy Detection with UltraSound in China (HEAD-US-C) and the Medical Outcomes Study (MOS) item short from health survey (SF-36) at 4, 12, 26 and 52 weeks., 52 weeks","Shanghai Belief-Delivery BioMed Co., Ltd",,MALE,"ADULT, OLDER_ADULT",PHASE3,32,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-12-30,2024-06-30,2028-06-30,2022-01-24,,2023-08-14,"Anhui Provincial Hospital, Hefei, Anhui, 230022, China|Peking Union Medical College Hospital, Beijing, Beijing, 100005, China|Nanfang Hospital Southern Medical University, Guangzhou, Guangdong, 510515, China|The Second People's Hospital of Shenzhen, Shenzhen, Guangdong, 518025, China|North China University of Science and Technology Affiliated Hospital, Tangshan, Hebei, 063000, China|Henan Cancer Hospital, Zhengzhou, Henan, 450003, China|The Second Hospital of Shanxi Medical University, Taiyuan, Shanxi, 030001, China|Institute of Hematology & Blood Diseases Hospital Chinese Academy of Medical Sciences & Peking Union Medical College, Tianjin, Tianjin, 300020, China|The second Affiliated Hospital of Kunming Medical University, Kunming, Yunnan, 650032, China",
NCT03084679,Characterization of Myocardial Interstitial Fibrosis and Cardiomyocyte Hypertrophy by Cardiac MRI in Heart Failure,https://clinicaltrials.gov/study/NCT03084679,,UNKNOWN,The investigators hypothesised that novel MRI metrics derived from myocardium post-gadolinium T1 mapping analysis will improve the current knowledge about the role interstitial fibrosis and cardiomyocyte hypertrophy in the development of left ventricular (LV) remodelling and clinical Heart Failure (HF). The investigators believe that these recently described variables will be associated with prognostically important indices in HF development.,NO,Heart Failure,OTHER: Aerobic exercise in treadmill|OTHER: Local strengthening exercises|OTHER: Stretching exercises,"Myocardial remodeling assessed by CMR in rehabilitation vs usual care., Investigate whether rehabilitation compared to usual care is associated with significant favorable myocardial remodeling assessed by CMR determination of ECV., 4 months","Change in left ventricular ejection fraction, Left Ventricular ejection fraction (%) will be determined by cardiac magnetic resonance using a previously described cine steady-state free precession imaging. All patients will be imaged with ECG gating and breath holding in a supine position. Patients will be imaged at baseline and after 4 months of the intervention., 4 months|Change in right ventricular ejection fraction, Right Ventricular ejection fraction (%) will be determined by cardiac magnetic resonance using a previously described cine steady-state free precession imaging. All patients will be imaged with ECG gating and breath holding in a supine position. Patients will be imaged at baseline and after 4 months of the intervention., 4 months|Change in left ventricular mass (absolute/index), Left ventricular mass absolute (g) and index (g/m2) will be determined by cardiac magnetic resonance using a previously described cine steady-state free precession imaging. All patients will be imaged with ECG gating and breath holding in a supine position. Patients will be imaged at baseline and after 4 months of the intervention., 4 months|Change in left ventricular diastolic volume (absolute/index), Left ventricular diastolic volume absolute (ml) and index (ml/m2) will be determined by cardiac magnetic resonance using a previously described cine steady-state free precession imaging. All patients will be imaged with ECG gating and breath holding in a supine position. Patients will be imaged at baseline and after 4 months of the intervention., 4 months|Change in right ventricular diastolic volume (absolute/index), Right ventricular diastolic volume absolute (ml) and index (ml/m2) will be determined by cardiac magnetic resonance using a previously described cine steady-state free precession imaging. All patients will be imaged with ECG gating and breath holding in a supine position. Patients will be imaged at baseline and after 4 months of the intervention., 4 months|Change in left ventricular systolic volume (absolute/index), Left ventricular systolic volume absolute (ml) and index (ml/m2) will be determined by cardiac magnetic resonance using a previously described cine steady-state free precession imaging. All patients will be imaged with ECG gating and breath holding in a supine position. Patients will be imaged at baseline and after 4 months of the intervention., 4 months|Change in right ventricular systolic volume (absolute/index), Right ventricular systolic volume absolute (ml) and index (ml/m2) will be determined by cardiac magnetic resonance using a previously described cine steady-state free precession imaging. All patients will be imaged with ECG gating and breath holding in a supine position. Patients will be imaged at baseline and after 4 months of the intervention., 4 months|Change in left ventricular stroke volume (absolute/index), Left ventricular stroke volume absolute (ml) and index (ml/m2) will be determined by cardiac magnetic resonance using a previously described cine steady-state free precession imaging. All patients will be imaged with ECG gating and breath holding in a supine position. Patients will be imaged at baseline and after 4 months of the intervention., 4 months|Change in right ventricular stroke volume (absolute/index), Right ventricular stroke volume (absolute (ml) and index (ml/m2) will be determined by cardiac magnetic resonance using a previously described cine steady-state free precession imaging. All patients will be imaged with ECG gating and breath holding in a supine position. Patients will be imaged at baseline and after 4 months of the intervention., 4 months|Change in late gadolinium enhancement, Late gadolinium enhancement (LGE) will be determined by cardiac magnetic resonance using a previously describe inversion recovery sequence after 10-15 minutes of a cumulative dose of 0,2 mmol/kg of gadolinium diethylenetriamine pentaacetic acid. All patients will be imaged with ECG gating and breath holding in a supine position. Patients will be imaged at baseline and after 4 months of the intervention., 4 months|Change in LV mass/volume ratio, LV mass/volume ratio (g/mL) will be determined by cardiac magnetic resonance using a previously described cine steady-state free precession imaging. All patients will be imaged with ECG gating and breath holding in a supine position. Patients will be imaged at baseline and after 4 months of the intervention., 4 months|Change in functional capacity, VO2max will be evaluated by cardiopulmonary test. Patients will performed the cardiopulmonary test at baseline and after 4 months of the intervention., 4 months|Change in quality of life, Quality of life will be evaluated by numerical score of Minnesota Questionnaire.

Patients will performed the Minnesota Questionnaire at baseline and after 4 months of the intervention., 4 months|Change in N-Terminal pro-B-type Natriuretic Peptide (NT-proBNP), Change in NT-proBNP with the intervention., 4 months|Change in diastolic dysfunction assessed by transthoracic echocardiogram, Change in parameters of diastolic dysfunction assessed before and after the intervention., 4 months|Change in cardiac sympathetic function, Change in cardiac sympathetic function assessed by cardiac uptake of metaiodobenzylguanidine (MIBG) labeled with I-123. Patients will performed the MIBG study at baseline and after 4 months of the intervention., 4 months|Change in intracellular lifetime of water (τic - a marker of cardiomyocyte hypertrophy), τic will be determined by cardiac magnetic resonance T1 measurements acquired before and after administration of gadolinium diethylenetriamine pentaacetic acid (0,2mmol/kg), at 2 different time points (baseline and 4-moths after the intervention), 4 months","University of Campinas, Brazil",,ALL,"ADULT, OLDER_ADULT",NA,90,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2017-11-01,2019-06-01,2020-07,2017-03-21,,2019-06-05,"University of Campinas, Campinas, São Paulo, Brazil",
NCT00099879,Study of BMS-275183 in Patients With Pre-treated Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00099879,,TERMINATED,The purpose of this clinical research study is to learn if BMS-275183 can shrink or slow the growth of the cancer in subjects with non-small cell lung cancer (NSCLC). The safety of this treatment will also be studied.,NO,Non-small Cell Lung Cancer,DRUG: BMS-275183,,,Bristol-Myers Squibb,,ALL,"ADULT, OLDER_ADULT",PHASE2,,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: |Masking: |Primary Purpose: TREATMENT,,2006-03,,2004-12-22,,2010-03-02,"Local Institution, Sacramento, California, United States|Local Institution, New Haven, Connecticut, United States|Local Institution, Atlanta, Georgia, United States|Local Institution, Maywood, Illinois, United States|Local Institution, Detroit, Michigan, United States|Local Institution, Pittsburgh, Pennsylvania, United States|Local Institution, Nashville, Tennessee, United States|Local Institution, Brussels, Belgium|Local Institution, Leuven, Belgium|Local Institution, Besancon, Cedex, France|Local Institution, Saint-Herblain, Cedex, France|Local Institution, Belfort, France|Local Institution, Parma, Italy|Local Institution, Roma, Italy|Local Institution, Amsterdam, Netherlands|Local Insitution, Groningen, Netherlands|Local Institution, Barcelona, Spain|Local Institution, Madrid, Spain|Local Institution, Shefield, Yorkshire, United Kingdom|Local Institution, Manchester, United Kingdom",
NCT00515879,Effect of D-cycloserine Plus Cognitive Behavioral Therapy on People With Social Phobia,https://clinicaltrials.gov/study/NCT00515879,,COMPLETED,This study will assess the effectiveness of D-cycloserine combined with cognitive-behavior therapy in treating people with social anxiety disorder.,YES,Social Anxiety Disorder,DRUG: D-cycloserine|BEHAVIORAL: Cognitive behavioral therapy (CBT)|DRUG: Placebo,"Social Phobic Disorders Severity and Change Form, Social Phobic Disorders Severity and Change Form (SPD-SC Form; Liebowitz et al., 1992) is an expansion and adaptation of the Clinical Global Impression Scale (CGI) by Guy (1976) to SAD. Similar to the original CGI scale, the SPD-SC Form is rated by an independent evaluator on a 7-point scale to indicate severity (1=normal/not ill; 2 = minimally ill; 3=mildly ill; 4=moderately ill; 5=markedly ill; 6=severely ill; 7=among the most severely ill) and improvement (1=very much improved; 2=much improved; . 3=minimally improved' 4 = no change; 5=nimimal deterioration; 6=severe deterioration; 7=very severe deterioration). The primary outcome measure is units of a scale ranging from 1 (very much improved) to 7 (very severe deterioration)., Measured at Months 3 (immediately after treatment)|Liebowitz Social Anxiety Scale (LSAS), The Liebowitz Social Anxiety Scale (LSAS; Liebowitz, 1987) is a 24-item scale that provides separate scores for fear and avoidance in social and performance situations; it is widely used in treatment studies of SAD. Total scores range from 0 (no anxiety) to 144 (maximum)., Measured at Months 3","Social Phobia and Anxiety Inventory, The Social Phobia and Anxiety Inventory (SPAI; Turner, Beidel, Dancu, and Stanley, 1989) is a 45-item self-report measure on the frequency (0 = Never, 1 = Very Infrequent, 2 = Infrequent, 3 = Sometimes, 4 = Frequent, 5 = Very Frequent, 6 = Always) of one's experiences. The inventory includes 32 items assessing somatic, cognitive, and behavioral symptoms of social anxiety and 13 items assessing agoraphobia. The final score is calculated by subtracting the agoraphobia subscale total (max = 78; min = 0) from the social phobia subscale total (max = 192; min = 0). Thus, the final total scores range from 0-114, where higher final scores indicate higher social anxiety., Measured at Months 3, 6, and 9 post-treatment|Quality of Life Enjoyment and Satisfaction Questionnaire, The Quality of Life Enjoyment and Satisfaction Questionnaire (Endicott et al., 1993) is a 16-item self-report measure that rates aspects of quality of life, including physical health, mood, activities of daily living, and overall life satisfaction. Responses are scored on a 5 point scale. The maximum score is 70 (high satisfaction) and the minimum is 14 (low satisfaction); scores are generally expressed as a percentage of maximum total score (0-100)., Measured at Months 3, 6, and 9 post-treatment|Liebowitz Self-Rated Disability Scale, Liebowitz Self-Rated Disability Scale (Schneier et al., 1994) is an 11-item scale assessing impairment specific to social anxiety. Current (past 2 weeks) and most severe lifetime impairment due to social anxiety disorder are rated on a 0-3 scale of degree of limitation (0=problem does not limit me at all; 3=problem limits me severely). The maximum score is 44 (severe impairment) and the minimum is 0 (no impairment)., Measured at Months 3, 6, and 9 post-treatment|Range of Impaired Functioning Tool, The Range of Impaired Functioning Tool (LIFE-RIFT, Leon et al., 2000) is a clinician rated scale assessing functioning in four domains: work, interpersonal relationships, recreation, and global satisfaction. Each domain is scored 0-5 (0=not applicable, 1=no impairment, 2=slight impairment, 3=mild impairment, 4=moderate impairment, 5=severe impairment). The total score is the sum of each domain's score, with a maximum score of 20 (severe impairment) and a minimum score of 4 (no impairment)., Measured at Months 3, 6, and 9 post-treatment",Boston University Charles River Campus,National Institute of Mental Health (NIMH),ALL,"ADULT, OLDER_ADULT",PHASE3,169,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2007-12,2011-12,2011-12,2007-08-14,2015-07-23,2019-02-26,"Boston University, Boston, Massachusetts, 02215, United States",
NCT01941979,A Study Comparing Adjuvant Chemotherapy Versus Observation for Patients With Rectal Adenocarcinoma After Neoadjuvant Chemo-Radiotherapy Treatment.,https://clinicaltrials.gov/study/NCT01941979,,UNKNOWN,"Surgery is the most indicated curative treatment for rectal cancer when disease is diagnosed early, however local recurrence risk increases when the disease is diagnosed at advanced stage.T1-2 tumors have a recurrence rate lower than 10%, while T3N0 tumors have 15% - 35% and positive lymph nodes T3-4 45% to 67% of recurrence rate within 5 years. These data indicate that patient who have a high risk of tumor recurrence should receive an adjuvant therapy treatment.

It is possible that adjuvant chemotherapy has a positive impact on survival of patients already treated with neoadjuvant combination therapy. However it is necessary to identify those patients that might have this benefit.

An exploratory analysis of the European Organization for Research and Treatment of Cancer (EORTC) 22921 study showed that the addition of adjuvant chemotherapy has benefited only the group of patients who had a reduction of tumor stage to ypT0-2. In the group who had no reduction (ypT3-4), there was no benefit. Retrospective analyzes suggest that the response to neoadjuvant chemoradiotherapy is a predictor of prognosis and even benefit to adjuvant chemotherapy. However the benefit of adjuvant chemotherapy for patients with rectal cancer remains controversial. Therefore, a randomized trial is needed to answer this question.

Based on these data the investigators proposed a phase III study, randomized, unblinded, adjuvant chemotherapy based on Fluorouracil(5-FU) and Oxaliplatin versus observation in patients with rectal adenocarcinoma T3-4, N0-1, M0 previously treated with neoadjuvant chemoradiotherapy and who did not presented complete response. The investigator believes that this subgroup of patients, who have not achieved complete response, will be benefit from adjuvant therapy.

Study objective:

The main objective of this study is verify if adjuvant chemotherapy with 5-FU and oxaliplatin, for 4 months, increases recurrence-free survival versus the observation. Secondary objectives include the evaluation of toxicity, overall survival and assessment of biomarkers (study protocol separately).

The study's primary endpoint is disease-free survival (DFS) to be defined as time from randomization to radiological detection of distant disease and / or locoregional recurrence. Isolate carcinoembryonic antigen (CEA) increase will not be consider as recurrence until a new measurable lesion be found.

NOTE: The TNM system is based on the size and/or extent (reach) of the primary tumor (T), the amount of spread to nearby lymph nodes (N), and the presence of metastasis (M) or secondary tumors formed by the spread of cancer cells to other parts of the body.",NO,Rectal Cancer,"DRUG: 5-FU, Capecitabine, Oxaliplatin, Leucovorin.","Disease free survival, Thorax, abdome, and pelvis tomography Every 6 month up to 3 years and anualy up to 5 years.","Overall survival, 36 month",Instituto do Cancer do Estado de São Paulo,,ALL,"ADULT, OLDER_ADULT",PHASE3,309,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2011-09,2015-09,2016-09,2013-09-13,,2014-10-30,"ICESP, Sao Paulo, SP, 01246000, Brazil",
NCT04344379,Prevention of SARS-CoV-2 in Hospital Workers s Exposed to the Virus,https://clinicaltrials.gov/study/NCT04344379,PREP-COVID,COMPLETED,"The Investigators propose to set up a preventive trial of infection in hospital workers at risk of coronavirus infection by comparing the rate of SARS-Cov-2 infection in a population of negative SARS-Cov-2 hospital workers receiving preventively azithromycin, hydroxychloroquine or a Placebo",NO,SARS-CoV-2 Infection,DRUG: hydroxychloroquine|DRUG: azithromycin|DRUG: hydroxychloroquine placebo,"To assess the impact of hydroxychloroquine and azithromycin on the prevention of SARS-CoV-2 contamination in hospital workers exposed to 40 days of treatment., The number of hospital workers with a positive serology or a positive PCR within 40 days of follow-up., 3 months","Reducing clinical episodes due to suspected SARS-2 CoV infection confirmed by PCR, Clinical signs suggesting SARS-2 CoV infection confirmed by positive endonasal PCR, 40 days|Reducing seroconversion for SARS-CoV-2 without any clinical sign, number of seroconversion by serology between Day 0 and Day 40., 3 months|Evaluation of drug tolerance in the study, number of cardiological severe adverse events assessed (ECG abnormalities : widening QT, ventricular arythmia, and cardiac arrests), other serious adverse events including hospitalizations, and deaths, 40 days|Evaluation on work stopping of hospital workers, Number of work stoppages over the period, 40 days|Observance of treatment measured by plasmatic concentrations of hydroxychloroquine or azythromycine, Plasmatic concentrations of treatments, 40 days|Incidence of cardiologic events, number of cardiac events, especialy ECG abnormalities (widening QT) due to treatments, 40 days",Assistance Publique - Hôpitaux de Paris,,ALL,"ADULT, OLDER_ADULT",PHASE3,122,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: PREVENTION",2020-04-17,2020-06-18,2020-06-18,2020-04-14,,2021-08-03,"Hopial Avicenne, Bobigny, 93000, France|Hôpital GHU Paris Saclay, Le Kremlin-Bicêtre, 92100, France|Hôpital Saint Antoine, Paris, 75012, France|Hôpital Broca, Paris, 75013, France|Hôpital La Pitié-Salpétrière, Paris, 75013, France|Hôpital Cochin, Paris, 75014, France|Hôpital européen Georges Pompidou, Paris, 75015, France|Hôpital Necker, Paris, 75015, France",
NCT05497479,Study Evaluating Techniques for Measuring Tear Production,https://clinicaltrials.gov/study/NCT05497479,MTP,COMPLETED,"This will be a vehicle-controlled, masked, randomized study conducted at a single site in the United States. All participants enrolled will have Dry Eye Disease (DED). The study will consist of 2 Visits. At Visit 1, eligibility will be assessed at Screening. All eligible subjects will then be enrolled and randomized to one of two treatment groups (1:1): active (0.003% AR-15512) or control (AR-15512 vehicle). Subjects in each treatment group will then be randomized 1:1 to which Visit (Visit 1 or 2) anesthetic will be used with the Schirmer test.",NO,Dry Eye Disease,DRUG: 0.003% AR-15512 to be administered in both eyes|DRUG: Vehicle to be administered in both eyes|DRUG: 0.003% AR-15512 to be administered in both eyes|DRUG: Vehicle to be administered in both eyes,"Unanesthetized Schirmer test, Proportion of subjects ≥ 10 mm increase in unanesthetized Schirmer score

Schirmer strips placed, without anesthesia, in both eyes measure the amount of tear wetting over a 5 minute period, measured in whole millimeters to a maximum score of 35 mm. An ≥ 10 mm score indicates a better outcome., Day 1|Unanesthetized Schirmer test, Mean change in Unanesthetized Schirmer score

Schirmer strips placed, without anesthesia, in both eyes measure the amount of tear wetting over a 5 minute period, measured in whole millimeters to a maximum score of 35 mm. A greater mean change indicates a better outcome., Day 1|Unanesthetized Schirmer test, Mean Unanesthetized Schirmer score

Schirmer strips placed, without anesthesia, in both eyes measure the amount of tear wetting over 5 minute period, measured in whole millimeters to a maximum score of 35 mm. A greater mean value indicates a better outcome., Day 1|Anesthetized Schirmer test, Proportion of subjects ≥ 10 mm increase in anesthetized Schirmer score

Schirmer strips placed with anesthesia, in both eyes measure the amount of tear wetting over a 5 minute period, measured in whole millimeters to a maximum score of 35 mm. An ≥ 10 mm score indicates a better outcome., Day 1|Anesthetized Schirmer test, Mean change in anesthetized Schirmer score.

Schirmer strips placed without anesthesia, in both eyes measure the amount of tear wetting over a 5 minute period, measured in whole millimeters to a maximum score of 35 mm. A greater mean change indicates a better outcome., Day 1|Anesthetized Schirmer test, Mean anesthetized Schirmer score

Schirmer strips placed with anesthesia, in both eyes measure the amount of tear wetting over 5 minute period, measured in whole millimeters to a maximum score of 35 mm. A greater mean value indicates a better outcome., Day 1",,Aerie Pharmaceuticals,,ALL,"ADULT, OLDER_ADULT",PHASE1,40,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-12-09,2021-12-10,2021-12-10,2022-08-11,,2022-08-11,"Eye Research Foundation, Newport Beach, California, 92663, United States",
NCT06410079,Difference in Return to Sports Activity After Hip Arthroplasty by THR or Resurfacing,https://clinicaltrials.gov/study/NCT06410079,PTH-50,NOT_YET_RECRUITING,"This study aims to evaluate the return to activity in younger patients under 50 years old after undergoing either total hip replacement (THR) or hip resurfacing, as performed in everyday practice. This research will be observational, meaning patients will not be randomly assigned to different treatment groups. To objectively assess participents; return to everyday, professional, and sports activities, validated questionnaires will be sent to participents in addition to routine clinical practice. The study will be prospective and comparative based on the type of prostheses used.

In order to capture the current practices of surgeons performing THR in participents under 50 years old in France, the study will be conducted at multiple centers across the country. Since hip resurfacing is performed only in certain centers, approximately half of the participating centers are experienced in this technique.

Participents typically resume activity between 3 and 6 months after THR. One year of post-operative follow-up allows for an accurate assessment of participents; recovery, unaffected by the surgery. Participents ; physical activity levels will be evaluated using the UCLA Activity Scale developed by surgeons to assess the activity levels of patients undergoing hip and arthroplasty.",NO,Hip Arthrosis|Femur Head Necrosis,PROCEDURE: total hip replacement,"UCLA hip score, The UCLA Hip Score is a validated measurement tool used to assess the level of physical activity in patients undergoing hip arthroplasty. It consists of a single-item scale ranging from 10 to 1. A score of 10 indicates regular participation in impact sports, while a score of 1 indicates complete inactivity and dependency on others. This score is utilized to evaluate the patient's functional outcome and activity level following hip surgery., Day 0, and 3 ,6,12 mounths","Subjective Hip Value (SHV) Score, evaluate patients' subjective perception of their hip function following hip surgery. It's typically assessed on a scale from 0 to 100, where 100 represents a fully functional, pain-free hip similar to its pre-surgery state. Patients rate their hip function based on their comfort, mobility, and overall satisfaction with the outcome of the surgery. This assessment provides valuable insight into the patient's experience and satisfaction with their hip replacement procedure, Days 14 and 3,6, 12 mounths|The Forgotten Joint Score (FJS), It measures how ""forgotten"" the joint feels, with higher scores indicating that patients are less aware of the replaced joint during daily activities. The score typically ranges from 0 to 100, with 100 indicating that the joint feels completely forgotten or normal. This assessment provides valuable information on the patient's perception of their hip replacement and its impact on their quality of life, Day 0, and 3 ,6,12 mounths|Oxford Hip Score (OHS), 12 questions used to assess the functional status and pain level of patients following hip replacement surgery. The questions cover activities of daily living such as walking, dressing, and sleeping, and patients rate their difficulty or pain level on a scale from 0 to 4 for each question. The total score ranges from 0 to 48, with lower scores indicating greater pain and functional limitation., Day 0, and 3 ,6,12 mounths|The DEVANE Score, tool used to evaluate the level of activity or sedentariness in patients. It assesses both professional and recreational activities, providing an overall assessment of the patient's activity level rather than focusing solely on their athletic pursuits. The score ranges from 1 to 5 based on the patient's responses, with 5 indicating the most intense level of activity., Day 0, 12 mounths|Age, Years, Day 0|Gendre, Male, female, Day 0|Implant type, implant type, resurfacing, dual mobility, ceramic, ceramic or polyethylene metal, Day 0|Surgical approach, choice of surgical approach, anterior, posterior, Day 0|Rehabilitation, rehabilitation, in a center, at home with a physiotherapist or without, 12 mounths|medical and surgical history, nflammatory disease, polyarthritis, previous surgical procedures on the hip, spine, Day 0",Société Française de chirurgie de la Hanche et du Genou,Elsan,ALL,ADULT,,500,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2024-06-01,2026-03-08,2026-09-08,2024-05-10,,2024-05-10,"Santé Atlantique, Saint Herblain, Nantes, 44800, France",
